"sAMAccountName","DisplayName","EmailAddress","Department","Enabled","LastLogonDate"
"corazon.cisneros","corazon.cisneros",,,"True",
"paul.ruane","paul.ruane",,,"True",
"tam.ellsworth","tam.ellsworth",,,"True",
"dannielle.teems","dannielle.teems",,,"True",
"jammie.tourville","jammie.tourville",,,"True",
"opal.perrone","opal.perrone",,,"True",
"justin.kellett","justin.kellett",,,"True",
"shanna.layman","shanna.layman",,,"True",
"patrick.luck","patrick.luck",,,"True",
"kelley.spearman","kelley.spearman",,,"True",
"mallie.burris","mallie.burris",,,"True",
"vicenta.gemmell","vicenta.gemmell",,,"True",
"anya.hitch","anya.hitch",,,"True",
"carli.trueblood","carli.trueblood",,,"True",
"lesli.hodges","lesli.hodges",,,"True",
"roy.simas","roy.simas",,,"True",
"jerrica.gatson","jerrica.gatson",,,"True",
"blanca.maziarz","blanca.maziarz",,,"True",
"delinda.gebhart","delinda.gebhart",,,"True",
"kum.vanzandt","kum.vanzandt",,,"True",
"byron.suber","byron.suber",,,"True",
"nicola.gwyn","nicola.gwyn",,,"True",
"lorriane.border","lorriane.border",,,"True",
"yaeko.easler","yaeko.easler",,,"True",
"krystle.capel","krystle.capel",,,"True",
"kali.coach","kali.coach",,,"True",
"cleora.cantrell","cleora.cantrell",,,"True",
"azucena.fleitas","azucena.fleitas",,,"True",
"marjorie.bergin","marjorie.bergin",,,"True",
"raymond.pasco","raymond.pasco",,,"True",
"beverley.tagg","beverley.tagg",,,"True",
"jong.musgrave","jong.musgrave",,,"True",
"jewel.girardin","jewel.girardin",,,"True",
"melanie.hand","melanie.hand",,,"True",
"sau.ahlquist","sau.ahlquist",,,"True",
"merri.crisman","merri.crisman",,,"True",
"james.ortegon","james.ortegon",,,"True",
"toccara.newbury","toccara.newbury",,,"True",
"gladys.leanos","gladys.leanos",,,"True",
"lyn.silcox","lyn.silcox",,,"True",
"margaret.duffel","margaret.duffel",,,"True",
"dion.resendes","dion.resendes",,,"True",
"shelia.kasprzak","shelia.kasprzak",,,"True",
"kera.sturgill","kera.sturgill",,,"True",
"celinda.pia","celinda.pia",,,"True",
"danille.feist","danille.feist",,,"True",
"sharie.ley","sharie.ley",,,"True",
"barbra.mckinny","barbra.mckinny",,,"True",
"eugenia.bouton","eugenia.bouton",,,"True",
